state,flow
s0,421
s1,558
s2,274
s3,325
s4,301
s5,294
s6,223
s7,437
s8,421
s9,216
s10,413
s11,221
s12,407
s13,395
s14,165
s15,146
s16,396
s17,304
s18,121
s19,275
s20,311
s21,558
s22,443
s23,235
s24,362
s25,296
s26,152
s27,374
s28,507
s29,320
s30,293
s31,115
s32,516
s33,549
s34,142
s35,566
s36,296
s37,294
