flow_predict,flow_true,missing_ratio,state
no propag info,558,1.0,s21
58.00000000000001,274,0.9090909090909091,s2
188.99999999999997,296,0.9090909090909091,s36
390.0,395,0.8181818181818182,s13
230.9825581395349,374,0.8181818181818182,s27
210.99999999999997,221,0.9090909090909091,s11
167.58579881656803,293,0.6363636363636364,s30
92.01744186046511,152,0.8181818181818182,s26
307.3255813953489,443,0.7272727272727273,s22
136.99999999999997,142,0.9090909090909091,s34
95.0,549,0.9090909090909091,s33
177.0,507,0.7272727272727273,s28
188.99999999999997,296,0.9090909090909091,s25
190.27939195126234,216,0.7272727272727273,s9
155.0,165,0.8181818181818182,s14
208.0,223,0.9090909090909091,s6
389.0810731650167,421,0.6363636363636364,s8
212.65697674418607,235,0.7272727272727273,s23
323.0,516,0.8181818181818182,s32
122.68604651162792,301,0.8181818181818182,s4
366.70348837209303,407,0.7272727272727273,s12
561.0,566,0.9090909090909091,s35
21.999999999999996,362,0.9090909090909091,s24
108.22485207100593,320,0.7272727272727273,s29
7.810650887573964,437,0.9090909090909091,s7
299.0,304,0.7272727272727273,s17
289.0,294,0.9090909090909091,s37
